code,META_LoincName,META_ReferenceUnit,META_DataType,raw_value_exact,row_count
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,PC 18/10/5/25,1
BACULUR//630-4,Bacteria identified in Urine by Culture,,Category,Few Acinetobacter species,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,80% FiO2; PC; RR 24;  20/12,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,"PS 10/5, FiO2: 30%",1
BACULUR//630-4,Bacteria identified in Urine by Culture,,Category,Many Streptococcus anginosus,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,35% 30L on HFNC,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,"HFNC 30%/30L. VV ECMO FiO2 @ 100%, Sweep 1.",1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,"PS 5/10 40%, VVECMO S5, 100%",1
RPR//20507-0,Reagin Ab [Presence] in Serum by RPR,,,Negative,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,5/5/30%,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,30%%VC+5,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,50%/ +10 PEEP,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,10L/min 40% high flow nasal cannula,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,"30L,25%",1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,"Mech Vent VC rate 14, peep 5, 40%",1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,S5 E100 V100,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,"70% PC12 peep12 rate18,EtCO2-33, supine",1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,PC 15/35 Peep 8 FiO2 40%,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,"VAECMO S4, 80%, 3L-NC",1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,peep 5 fio2 50%,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,acvc r 20 tv 560 40% p 5,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,70% PEEP 10 RR 16,1
ALBCREATUR//9318-7,Albumin/Creatinine [Mass Ratio] in Urine,mcg/mg,Number,<60.0,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,HFNC 30% 30 L/MIN,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,ecmo flow 3.9 s2 fio2 100 ac/vc 400 peep 5 rr 14,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,CPAP 8/35%,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,E100% V 50% rate 18,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,hfnc 20L / 40%,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,"30%, peep 5",1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,40% PC 10/+8,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,"vv ecmo 80% sweep 4, vent 60&",1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,PC 7/10/5/40%,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,30% oet VC,1
BACULUR//630-4,Bacteria identified in Urine by Culture,,Category,"100,000 CFU/mL Stenotrophomonas species",1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,16/17/5/30%,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,ecmo 100%/6L 4L nc,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,"ECMO Sweep 2, FiO2 100",1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,"vent 40%, ECMO 30% sweep 1.5",1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,PC 14/14 R30 70%,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,PS 5/30%,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,NC 6 Lpm,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,"VC r 18, TV 300, 40%, peep 10",1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,"VC TV 400, RR14, PEEP 10, 50%",1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,100 ecmo sweep4 vent 50,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,20l30%,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,"Ecmo 100%, 3L Sweep, Face Tent 40% 15L",1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,Vent 100,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,"3LNC, ECMO 90% sweep 4 (increased flow to 4.3)",1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,"VC+, PEEP5, TV 400, 40%",1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,30%FiO2/+5Peep,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,50% VC440 RR30 PEEP5,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,"PC 15/14, FiO2 80%",1
BACULUR//630-4,Bacteria identified in Urine by Culture,,Category,"90,000 CFU/mL Candida kefyr",1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,"VC+,TV440, PEEP10, 50%",1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,6liters,1
FUCUL//580-1,Fungus identified in Specimen by Culture,,Category,Trichophyton species,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,VA ECMO sweep 1 70% VC R14 60%,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,60% 30 L,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,"VV ECMO S6.5 FiO2 100%, Vent 50%",1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,VC 35/8/100% fio2,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,vc fio2 30%,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,VA 100 sweep 2 p/c35%,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,"PS 30 %, VA ECMO sweep 1, 100%",1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,HFNC 40% / 50L,1
BACULUR//630-4,Bacteria identified in Urine by Culture,,Category,Rare Probable Staphylococcus aureus,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,40% vent/ 100% ecmo,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,PS 7/10 FiO2 @ 40%. ECMO FiO2 @ 40%. Sweep 4.5,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,AVAPS,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,100% sweep 1.5 / VENT 50%,1
HBVQPCR//29615-2,Hepatitis B virus DNA [#/volume] (viral load) in Serum or Plasma by NAA with probe detection,IU/mL,,Test Not Performed,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,90% vc 280 peep 9 rate 28,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,100% vent/ sweep 3/3 100%,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,ecmo100% sweep4,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,HFNC 30L 40% - 100% ecmo - sweep 4,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,AC P10 40%,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,60% VC +12,1
GANCICLOHPLC//15367-6,Ganciclovir [Mass/volume] in Serum or Plasma,mcg/mL,,NONE DETECTED,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,NC 6/ VV 100 S 4,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,"VC+ 16, 20/10, 100%",1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,26/ peep 10 fio2 35%,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,60% PC 22/8 RR 16,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,65% 60L,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,"vent 100, emco 100 sweep 5",1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,55% FIO2 A/C VC,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,VC 40%/PEEP8,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,VC 370/5 40%,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,15liters/nonrebreather mask,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,HFNC 65% 55L,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,"ECMO S0, On RA",1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,vc 340 RR 35 PEEP 8 80%,1
MEMALSER//13964-2,Methylmalonate [Moles/volume] in Serum or Plasma,umol/L,,> 200,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,"RA, ECMO FiO2: 90%, Sweep: 1.5",1
BACULBLD//600-7,Bacteria identified in Blood by Culture,,Category,Citrobacter farmeri,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,VC 400 PEEP12 RR12 70%,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,100 % ambu bag,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,Supine VC 380/28/10/90%,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,"HFTC 50L, 50%",1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,100/30/2.5,1
BACULUR//630-4,Bacteria identified in Urine by Culture,,Category,Moderate Streptococcus anginosus group,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,45% 10/8,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,trach on Vent VC+ FiO2: 60%,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,100% ECMO 60% HF,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,21% PC 10/5,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,50L 80% HFTC,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,PS 10/5/40,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,vc 250 10 +5 40%,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,65% / +10,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,HFNC 80/40; VV ECMO Sweep 7 / 100%,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,"VAE S 2, 100%, HFNC 35%/20LPM",1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,VC 60% peep 5,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,SIMV/VC+ 40% PEEP 5,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,50% PC 8/8 RR 14,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,ECMO 55%/3,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,"3L NC. ECMO 100% ,Sweep 3",1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,"30% HFNC, ECMO 100%, sweep 7",1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,PC R14 P5 40%,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,"PS 5/10, 50%",1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,100 Vented,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,ecmo sweep 13/100% vent 40%,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,VS 25%,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,70/100/10,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,60%40HF,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,"HFNC50%40L, VA ecmo sweep2 80%",1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,"ECMO sweep 3, 100%, vent 50%",1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,PS 8/3 30%,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,"HHFNC 40L/50%, VA ECMO 2.4/s2/100%",1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,PC 24 R28 +5 50%,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,"VC 275, RR 25, +12, 80%",1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,"VV ECMO FiO2 100% Sweep 5, VA ECMO FiO2 100% Sweep 5, PC 18/8 FiO2 100%",1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,VA ECMO 100% sweep 3,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,50% VC440,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,2.5lpm/nc,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,40/70/1.5,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,HFNC 20L30%,1
ADENOQNCPML//49340-3,Adenovirus DNA [#/volume] (viral load) in Specimen by NAA with probe detection,cpy/mL,,"3,900",1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,Bipap 12/5 80%,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,50% PC 16  RR26  PEEP 5,1
GYNINT//33717-0,Cervical AndOr vaginal cytology study,,Category,EPITHELIAL CELL ABNORMALITY: GLANDULAR CELL: Adenocarcinoma-not otherwise specified (NOS),1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,50/50 HFNC,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,"VC rate 20, PEEP 5, 40%",1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,HFNC 50% 30lpm,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,60% +7,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,HFTC 30%/30L; ECMO S3,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,T piece 60% VV 100 S 6,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,15LPM nonrebreather,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,30% FiO@ PEEP 5,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,"PC 30, Rate 26, PEEP 3, 40% FiO2",1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,VC / 320ml / rate 16/ peep 5/ Fio2 40%,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,"PC 60%, rate 20",1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,80% VC PEEP 5,1
T3TOTAL//3053-6,Triiodothyronine (T3) [Mass/volume] in Serum or Plasma,ng/dL,Number,>650,1
ADENOQNCPML//49340-3,Adenovirus DNA [#/volume] (viral load) in Specimen by NAA with probe detection,,,"25,600",1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,"va 70%, swp 1",1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,"FIO2 50%, PEEP 8, PS 10, RR 28",1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,TC 6L/28%,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,PC 16 18/6 40%,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,vent pc 15/5 30%,1
ALT//1743-4,Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma by With P-5'-P,U/L,Number,<18,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,pc 80% peep 10,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,HFNC 40%/30LPM,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,70 % FiO2,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,90% FIO2,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,80% 10,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,HFTC 40L60%,1
FIBRINOGEN//3255-7,Fibrinogen [Mass/volume] in Platelet poor plasma by Coagulation assay,mg/dL,,<35,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,CPAP 10 40%; ECMO 100% S3,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,acpc 20 p 10 r20 80%,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,53% FiO2,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,VC 400 R22 PEEP8 50%,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,vant 35%,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,VA ECMO 70% Sweep 2L / PC 12/10 30%,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,30% PC 20/5 RR26,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,430/20/8/50%,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,50% PC 16/+10 RR 22,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,HFNC 100% / 40L/min,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,HFNC fio2 100%,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,60% 6L TRACH COLLAR,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,"ECMO 2 FiO2 70%, PC 10/10 FiO2 30%",1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,30 liters,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,vent PS 15/10 30%,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,HFNC 40/50%,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,"ECMO S 2, FiO2 100%, HFNC 30%/40Lpm",1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,"VENT 100%, ECMO 60%  S 4",1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,PRONE VC FiO2 65%,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,50% FiO2; 40L HFNC,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,AC/VC 80% ECMO 100% S1.2,1
BACULRSP//6460-0,Bacteria identified in Sputum by Culture,,Category,Few Aeromonas hydrophila group,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,24/580/10/30%,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,50%/35L hiflo,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,ECMO 100%/5L 4L NC,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,60% VC300 peep 8 rate28,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,"60%, peep 12, rate 20",1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,"R26, TV 420, PS10, Peep 5, 55% fio2",1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,30 vent VC,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,"50% FIO2, 40L; 20PPM",1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,"ECMO 60% S1, vent PS 12/5, 30%",1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,"vv ecmo sweep 6 fio2 100%, ett t piece 10L 95%",1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,VC R25 60%,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,"ECMO 100%, Sweep 1.5. HFNC 50L/ 40%",1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,100% ECMO 100% VENT,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,40% vent 80% ecmo sweep 2,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,30 % 40L,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,VV 100% S 3.5; Vent 90%,1
BACULUR//630-4,Bacteria identified in Urine by Culture,,Category,"<10,000 CFU/mL Proteus vulgaris",1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,FiO2 75%,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,TC 28% 6lpm,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,pc 24/7 fio2 82% va ecmo sweep 3 fio2 100%,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,"FIO2 35%, Rate 24, PEEP 10, PS 10",1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,pc 18/12 100%,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,vent100%ecmo100%sweep4,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,70% Fio2/PEEP 12,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,PC+ 14/500/5/25,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,FiO2 30,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,AC VC+ 16/380/30%/8,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,"ecmo 80%, 2; hfnc 30%",1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,"PC. RR 20, Peep 10, FiO2 50%",1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,50% ECMO 50 %,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,VENT 40%/12,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,"PC10/10, RR10, 30%, ECMO 100%/2L",1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,BiPAP 5/5 70%,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,VC 500/24/5/60%,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,PS 15/+5 30%,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,"VC 470, 10, 5, 40%",1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,PS 5/5 O2: 40%,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,"TC 80%/15L, VV sweep 3, 100%",1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,VC 40%/ 10+,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,pressut=re support 7/5 30%,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,vent 30% Peep 5 RR 14 TV 400,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,ECMO 70% S 0.5; NC 2,1
ADENOQNCPML//49340-3,Adenovirus DNA [#/volume] (viral load) in Specimen by NAA with probe detection,cpy/mL,,"29,000",1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,ETT PC R16 P8 30%,1
FUCUL//580-1,Fungus identified in Specimen by Culture,,Category,Cladosporium species,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,30% VC RR18,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,"VC FiO2 30%, Peep 5, Rate 16",1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,VV-ECMO sweep 3.5 100%,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,VA ecmo sweep 2-100 % __ RA,1
GANCICLOHPLC//15367-6,Ganciclovir [Mass/volume] in Serum or Plasma,,,5.9 mcg/mL,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,ECMO 100%/15L 100%,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,VA 80% Sw 1; AC 100% PEEP 5,1
CARDLIPIGG//3181-5,Cardiolipin IgG Ab [Units/volume] in Serum by Immunoassay,GPL,,Test Not Performed,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,28%/10L,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,2L NC/ ECMO 100% S 4,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,VC 520/ peep 6/ fio2 70% rate 20,1
FIO2ART//3149-2,Oxygen [Partial pressure] in Inhaled gas,,Multi String,"ecmo 90% sweep 1L, vent 50%",1
